row_number, computation, coverage
1,45738,126,
2,45738,126,
3,45738,126,
4,45738,126,
5,45738,126,
6,45738,126,
7,45738,126,
8,45738,126,
9,45738,126,
10,45738,126,
11,45738,126,
12,45738,126,
13,45738,126,
14,45738,126,
15,45738,126,
16,45738,126,
17,45738,126,
18,45738,126,
19,45738,126,
20,45738,126,
21,45738,126,
22,45738,125,
23,45738,126,
24,45738,125,
25,45738,125,
26,45738,125,
27,45738,125,
28,45738,125,
29,45738,125,
30,45738,123,
31,45738,125,
32,45738,122,
33,45738,126,
34,45738,124,
35,45738,124,
36,45738,123,
37,45738,122,
38,45738,123,
39,45738,124,
40,45738,122,
41,45738,123,
42,45738,121,
43,45738,121,
44,45738,120,
45,45738,122,
46,45738,120,
47,45738,119,
48,45738,119,
49,45738,121,
50,45738,118,
51,45738,122,
52,45738,122,
53,45738,116,
54,45738,116,
55,45738,120,
56,45738,118,
57,45738,119,
58,45738,119,
59,45738,116,
60,45738,123,
61,45738,117,
62,45738,115,
63,45738,120,
64,45738,119,
65,45738,114,
66,45738,112,
67,45738,119,
68,45738,116,
69,45738,119,
70,45738,115,
71,45738,119,
72,45738,117,
73,45738,104,
74,45738,112,
75,45738,115,
76,45738,120,
77,45738,111,
78,45738,110,
79,45738,115,
80,45738,110,
81,45738,111,
82,45738,113,
83,45738,113,
84,45738,114,
85,45738,112,
86,45738,117,
87,45738,108,
88,45738,115,
89,45738,105,
90,45738,113,
91,45738,104,
92,45738,107,
93,45738,106,
94,45738,111,
95,45738,111,
96,45738,107,
97,45738,108,
98,45738,107,
99,45738,100,
100,45738,103,
101,45738,107,
102,45738,105,
103,45738,98,
104,45738,99,
105,45738,106,
106,45738,103,
107,45738,100,
108,45738,104,
109,45738,97,
110,45738,103,
111,45738,93,
112,45738,103,
113,45738,103,
114,45738,98,
115,45738,98,
116,45738,98,
117,45738,100,
118,45738,89,
119,45738,92,
120,45738,98,
121,45738,92,
122,45738,96,
123,45738,99,
124,45738,91,
125,45738,93,
126,45738,96,
127,45738,98,
128,45738,92,
129,45738,91,
130,45738,99,
131,45738,88,
132,45738,92,
133,45738,95,
