Partial Array Size, Num Rows, Num Uncov Int, Num edges, Max Deg, Min Deg, Num Extra Rows
7260,7473,1295,635659,1060,885,213
7265,7472,1296,636376,1057,901,207
7270,7465,1203,548651,982,818,195
7275,7486,1281,621790,1045,881,211
7280,7476,1219,564867,1003,850,196
7285,7482,1235,577537,1012,867,197
7290,7491,1183,530921,957,828,201
7295,7488,1229,571808,1017,858,193
7300,7496,1236,577782,1023,845,196
7305,7499,1163,512871,951,817,194
7310,7501,1190,536718,973,798,191
7315,7501,1152,501371,944,778,186
7320,7523,1194,540542,976,828,203
7325,7525,1185,530739,968,796,200
7330,7507,1074,438332,881,750,177
7335,7531,1196,542067,968,836,196
7340,7536,1175,521122,982,804,196
7345,7537,1153,504010,940,800,192
7350,7535,1105,463444,914,749,185
7355,7540,1111,467928,915,779,185
7360,7553,1140,493371,932,801,193
7365,7556,1138,490786,933,781,191
7370,7555,1120,476104,913,778,185
7375,7550,1052,418683,868,718,175
7380,7554,1021,393334,836,693,174
7385,7572,1095,455086,897,768,187
7390,7569,1078,439510,883,741,179
7395,7572,1047,415966,858,727,177
7400,7584,1071,434991,901,747,184
7405,7581,1029,401926,841,708,176
7410,7589,1056,422539,876,726,179
7415,7589,1018,393696,828,705,174
7420,7603,1052,419786,852,736,183
7425,7600,988,370273,804,688,175
7430,7610,1048,414681,863,724,180
7435,7611,989,370911,812,684,176
7440,7607,974,359927,809,668,167
7445,7619,987,369822,800,673,174
7450,7618,1015,390077,833,693,168
7455,7621,969,356492,802,681,166
7460,7622,957,346307,786,655,162
7465,7638,987,369319,810,687,173
7470,7631,926,325279,766,645,161
7475,7644,907,312761,740,638,169
7480,7637,857,277915,700,593,157
7485,7640,889,299923,729,609,155
7490,7653,958,345485,798,632,163
7495,7659,948,340627,786,656,164
7500,7662,930,326424,776,639,162
7505,7658,912,314946,746,629,153
7510,7677,914,316118,749,632,167
7515,7672,867,285802,702,607,157
7520,7690,924,324735,760,651,170
7525,7684,890,299847,730,619,159
7530,7694,866,285678,709,597,164
7535,7684,823,256641,679,575,149
7540,7697,872,287667,723,574,157
7545,7694,793,238415,658,549,149
7550,7702,826,257767,681,572,152
7555,7712,855,276680,696,588,157
7560,7710,791,236921,656,549,150
7565,7709,775,226785,648,531,144
7570,7721,863,280429,709,568,151
7575,7729,844,269657,692,575,154
7580,7729,841,266408,699,563,149
7585,7733,833,261177,684,558,148
7590,7740,838,265641,696,581,150
7595,7741,829,259893,684,572,146
7600,7752,817,252613,673,564,152
