Partial Array Size, Num Uncov Int, Num Edges
6135,6391,15489872
6135,6178,14487025
6135,6290,15023663
6140,5904,13205782
6140,6296,15062626
6140,6464,15819863
6140,6106,14134606
6140,6223,14716412
6140,6325,15118885
6140,6281,14945166
6140,6109,14169238
6140,6198,14599605
6140,5878,13091128
6145,5922,13302719
6145,5908,13260604
6145,6197,14607177
6145,6100,14153714
6145,6686,16917826
6145,5834,12912097
6145,5840,12978179
6145,5964,13513073
6145,6367,15363358
6145,6490,15979126
6150,6049,13894927
6150,6298,14974005
6150,6117,14217964
6150,5865,13056693
6150,5963,13517326
6150,6221,14687801
6150,6168,14461154
6150,6266,14965252
6150,6038,13811545
6150,5927,13320696
6155,5962,13513301
6155,5993,13623212
6155,5781,12711829
6155,6387,15416872
6155,6253,14841114
6155,5804,12805689
6155,6372,15425916
6155,5735,12476366
6155,5859,13021814
6155,5833,12896021
6160,5851,13016119
6160,6342,15204769
6160,6309,15079304
6160,5940,13390091
6160,5985,13583874
6160,6185,14544180
6160,5666,12211585
6160,6241,14770860
6160,5563,11787848
6160,5830,12902700
6165,5801,12778400
6165,6008,13669818
6165,5963,13505385
6165,5864,13079267
6165,5951,13427406
6165,5782,12708732
6165,5767,12656380
6165,5624,12018778
6165,5891,13164112
6165,6150,14364678
6170,5798,12748316
6170,6339,15207530
6170,6061,13930434
6170,6417,15612512
6170,5680,12267325
6170,5909,13281014
6170,5838,12924908
6170,5892,13120001
6170,5790,12678239
6170,5634,12070889
6175,5984,13560742
6175,5943,13390657
6175,5937,13348950
6175,5684,12296976
6175,5671,12231873
6175,5835,12923599
6175,6052,13881352
6175,5844,12970124
6175,5798,12732656
6175,5762,12598545
6180,5903,13223394
6180,5611,11979355
6180,6058,13889261
6180,5943,13421267
6180,6317,15157656
6180,5803,12801124
6180,5997,13649169
6180,5903,13204518
6180,6282,14938792
6180,6029,13784276
6185,5403,11099151
6185,6026,13776472
6185,5632,12007512
6185,5659,12152535
6185,5653,12133882
6185,5612,11981391
6185,5589,11870225
6185,5920,13328318
6185,5723,12431091
6185,5811,12812770
6190,5401,11099285
6190,5959,13466113
6190,5371,10963475
6190,5929,13332497
6190,5881,13135407
6190,5709,12395576
6190,5785,12685481
6190,5997,13631658
6190,5586,11847850
6190,5937,13355392
6195,5476,11400180
6195,5453,11301890
6195,5456,11294949
6195,5448,11264159
6195,5598,11917638
6195,5839,12925023
6195,5962,13471305
6195,5958,13447042
6195,5607,11956421
6195,5810,12815106
6200,5606,11936127
6200,5542,11654947
6200,5719,12418946
6200,5937,13377175
6200,5382,10995463
6200,6028,13789902
6200,5623,11999169
6200,5422,11181577
6200,5672,12209435
6200,5717,12397374
6205,5369,10934436
6205,5590,11872215
6205,5546,11690237
6205,5931,13350831
6205,5721,12404528
6205,5807,12794910
6205,5908,13218535
6205,5409,11136278
6205,5855,12985786
6205,5848,13001098
6210,5666,12177215
6210,5622,11991979
6210,5736,12498113
6210,5744,12505944
6210,5503,11485543
6210,5528,11604538
6210,5858,12997837
6210,5448,11280354
6210,5527,11584594
6210,5741,12493600
6215,5453,11270743
6215,5178,10214051
6215,5604,11908536
6215,5730,12426254
6215,5734,12480453
6215,5772,12655709
6215,5649,12095742
6215,5592,11855665
6215,6041,13808369
6215,5710,12341829
6220,5728,12438266
6220,5235,10444746
6220,5428,11184213
6220,5484,11448158
6220,5467,11339838
6220,5426,11186533
6220,5444,11252638
6220,5736,12462336
6220,5624,12020679
6220,5735,12490976
6225,5657,12115452
6225,5372,10934657
6225,5820,12799316
6225,5513,11544697
6225,5619,11960729
6225,5572,11777228
6225,5437,11232013
6225,5707,12317751
6225,5402,11096398
6225,5651,12081769
6230,5334,10806412
6230,5723,12418918
6230,5156,10087432
6230,5519,11556351
6230,5473,11383397
6230,5377,10982164
6230,5390,11043074
6230,5364,10953929
6230,5489,11380293
6230,5673,12191817
6235,5750,12532176
6235,5303,10683641
6235,5752,12538130
6235,5358,10876517
6235,5019,9551730
6235,5654,12138393
6235,5268,10537665
6235,5450,11284399
6235,5539,11645372
6235,5420,11088736
6240,5287,10612893
6240,5254,10486297
6240,5326,10759042
6240,5245,10460243
