row_number, computation, coverage
1,13514592,12376,
2,13514592,12376,
3,13514592,12376,
4,13514592,12376,
5,13514592,12376,
6,13514592,12376,
7,13514592,12375,
8,13514592,12376,
9,13514592,12375,
10,13514592,12373,
11,13514592,12371,
12,13514592,12365,
13,13514592,12364,
14,13514592,12368,
15,13514592,12367,
16,13514592,12356,
17,13514592,12361,
18,13514592,12354,
19,13514592,12337,
20,13514592,12342,
21,13514592,12340,
22,13514592,12342,
23,13514592,12339,
24,13514592,12355,
25,13514592,12338,
26,13514592,12330,
27,13514592,12350,
28,13514592,12304,
29,13514592,12303,
30,13514592,12276,
31,13514592,12322,
32,13514592,12282,
33,13514592,12300,
34,13514592,12281,
35,13514592,12321,
36,13514592,12306,
37,13514592,12279,
38,13514592,12288,
39,13514592,12286,
40,13514592,12196,
41,13514592,12201,
42,13514592,12233,
43,13514592,12204,
44,13514592,12208,
45,13514592,12117,
46,13514592,12217,
47,13514592,12150,
48,13514592,12136,
49,13514592,12207,
50,13514592,12155,
51,13514592,12096,
52,13514592,12161,
53,13514592,12149,
54,13514592,12070,
55,13514592,12182,
56,13514592,12053,
57,13514592,12086,
58,13514592,11984,
59,13514592,12077,
60,13514592,12072,
61,13514592,12001,
62,13514592,12014,
63,13514592,11996,
64,13514592,12108,
65,13514592,12047,
66,13514592,12022,
67,13514592,11956,
68,13514592,11956,
69,13514592,11987,
70,13514592,11911,
71,13514592,12085,
72,13514592,12037,
73,13514592,11964,
74,13514592,11996,
75,13514592,11932,
76,13514592,12004,
77,13514592,11962,
78,13514592,11885,
79,13514592,11748,
80,13514592,11859,
81,13514592,11811,
82,13514592,11803,
83,13514592,11840,
84,13514592,11796,
85,13514592,11821,
86,13514592,11830,
87,13514592,11857,
88,13514592,11860,
89,13514592,11724,
90,13514592,11677,
91,13514592,11705,
92,13514592,11759,
93,13514592,11807,
94,13514592,11711,
95,13514592,11732,
96,13514592,11727,
97,13514592,11723,
98,13514592,11729,
99,13514592,11570,
100,13514592,11646,
101,13514592,11718,
102,13514592,11558,
103,13514592,11706,
104,13514592,11430,
105,13514592,11752,
106,13514592,11577,
107,13514592,11510,
108,13514592,11589,
109,13514592,11512,
110,13514592,11576,
111,13514592,11650,
112,13514592,11504,
113,13514592,11464,
114,13514592,11381,
115,13514592,11491,
116,13514592,11351,
117,13514592,11422,
118,13514592,11473,
119,13514592,11432,
120,13514592,11399,
121,13514592,11382,
122,13514592,11545,
123,13514592,11323,
124,13514592,11314,
125,13514592,11354,
126,13514592,11270,
127,13514592,11326,
128,13514592,11229,
129,13514592,11494,
130,13514592,11234,
131,13514592,11266,
132,13514592,11378,
133,13514592,11479,
134,13514592,11381,
135,13514592,11331,
136,13514592,11394,
137,13514592,11146,
138,13514592,11236,
139,13514592,11080,
140,13514592,11119,
141,13514592,11163,
142,13514592,11109,
143,13514592,11252,
144,13514592,11221,
145,13514592,10941,
146,13514592,11202,
147,13514592,11037,
148,13514592,11164,
149,13514592,10920,
150,13514592,11130,
151,13514592,11071,
152,13514592,11016,
153,13514592,10861,
154,13514592,11146,
155,13514592,10981,
156,13514592,11111,
157,13514592,10849,
158,13514592,10814,
159,13514592,10873,
160,13514592,10779,
161,13514592,10840,
162,13514592,10940,
163,13514592,11229,
164,13514592,10742,
165,13514592,10793,
166,13514592,10970,
167,13514592,10710,
168,13514592,10722,
169,13514592,10861,
170,13514592,10799,
171,13514592,10699,
172,13514592,10951,
173,13514592,10638,
174,13514592,10851,
175,13514592,10678,
176,13514592,10800,
177,13514592,10613,
178,13514592,10565,
179,13514592,10620,
180,13514592,10574,
181,13514592,10689,
182,13514592,10457,
183,13514592,10689,
184,13514592,10644,
185,13514592,10505,
186,13514592,10722,
187,13514592,10607,
188,13514592,10462,
189,13514592,10437,
190,13514592,10508,
191,13514592,10624,
192,13514592,10338,
193,13514592,10389,
194,13514592,10562,
195,13514592,10466,
196,13514592,10633,
197,13514592,10573,
198,13514592,10503,
199,13514592,10577,
200,13514592,10407,
201,13514592,10461,
202,13514592,10547,
203,13514592,10477,
204,13514592,10385,
205,13514592,10255,
206,13514592,10293,
207,13514592,10166,
208,13514592,10222,
209,13514592,10452,
210,13514592,10399,
211,13514592,10385,
212,13514592,10141,
213,13514592,9907,
214,13514592,10106,
215,13514592,10805,
216,13514592,10463,
217,13514592,10114,
218,13514592,10000,
219,13514592,10086,
220,13514592,10223,
221,13514592,10037,
222,13514592,10018,
223,13514592,10114,
224,13514592,9910,
225,13514592,10028,
226,13514592,9930,
227,13514592,10002,
228,13514592,10561,
229,13514592,10012,
230,13514592,10150,
231,13514592,10036,
232,13514592,10142,
233,13514592,10103,
234,13514592,10289,
235,13514592,9964,
236,13514592,10135,
237,13514592,9824,
238,13514592,10058,
239,13514592,9853,
240,13514592,10130,
241,13514592,9797,
242,13514592,9752,
243,13514592,9705,
244,13514592,10086,
245,13514592,9818,
246,13514592,10027,
247,13514592,9630,
248,13514592,9891,
249,13514592,9957,
250,13514592,10089,
251,13514592,9535,
252,13514592,9931,
253,13514592,9967,
254,13514592,9897,
255,13514592,10019,
256,13514592,9559,
257,13514592,9806,
258,13514592,9746,
259,13514592,9888,
260,13514592,10011,
261,13514592,9687,
262,13514592,9552,
263,13514592,9562,
264,13514592,9576,
265,13514592,9798,
266,13514592,9586,
267,13514592,9702,
268,13514592,9549,
269,13514592,9790,
270,13514592,9633,
271,13514592,9787,
272,13514592,9641,
273,13514592,9407,
274,13514592,9665,
275,13514592,9708,
276,13514592,9764,
277,13514592,9563,
278,13514592,9440,
279,13514592,9411,
280,13514592,9592,
281,13514592,9066,
282,13514592,9689,
283,13514592,9228,
284,13514592,9477,
285,13514592,9364,
286,13514592,9408,
287,13514592,9853,
288,13514592,9195,
289,13514592,9284,
290,13514592,9473,
291,13514592,9285,
292,13514592,9377,
293,13514592,8932,
294,13514592,9512,
295,13514592,9096,
296,13514592,9150,
297,13514592,9086,
298,13514592,9435,
299,13514592,8959,
300,13514592,9041,
301,13514592,9222,
302,13514592,9359,
303,13514592,9110,
304,13514592,9011,
305,13514592,9192,
306,13514592,9138,
307,13514592,9007,
308,13514592,9202,
309,13514592,9066,
310,13514592,9265,
311,13514592,9056,
312,13514592,8925,
313,13514592,8891,
314,13514592,9296,
315,13514592,9069,
316,13514592,8998,
317,13514592,8969,
318,13514592,8903,
319,13514592,8829,
320,13514592,9243,
321,13514592,8961,
322,13514592,9004,
323,13514592,9090,
324,13514592,8867,
325,13514592,8887,
326,13514592,8878,
327,13514592,8939,
328,13514592,9129,
329,13514592,8951,
330,13514592,8837,
331,13514592,8926,
332,13514592,8659,
333,13514592,8765,
334,13514592,8893,
335,13514592,8668,
336,13514592,9173,
337,13514592,8704,
338,13514592,8835,
339,13514592,9060,
340,13514592,8604,
341,13514592,8439,
342,13514592,8774,
343,13514592,8567,
344,13514592,8582,
345,13514592,8775,
346,13514592,8534,
347,13514592,8629,
348,13514592,8718,
349,13514592,8547,
350,13514592,8540,
351,13514592,8560,
352,13514592,8509,
353,13514592,8734,
354,13514592,8612,
355,13514592,8595,
356,13514592,8258,
357,13514592,8589,
358,13514592,8427,
359,13514592,8330,
360,13514592,8382,
361,13514592,8314,
362,13514592,8432,
363,13514592,8534,
364,13514592,8367,
365,13514592,8395,
366,13514592,8587,
367,13514592,8126,
368,13514592,8195,
369,13514592,8515,
370,13514592,8616,
371,13514592,8544,
372,13514592,8415,
373,13514592,8420,
374,13514592,8507,
375,13514592,8388,
376,13514592,8565,
377,13514592,8241,
378,13514592,8174,
379,13514592,8167,
380,13514592,8154,
381,13514592,8396,
382,13514592,8250,
383,13514592,7968,
384,13514592,8195,
385,13514592,8525,
386,13514592,8156,
387,13514592,8046,
388,13514592,8406,
389,13514592,8094,
390,13514592,8186,
391,13514592,8154,
392,13514592,8250,
393,13514592,8186,
394,13514592,8091,
395,13514592,8099,
396,13514592,8588,
397,13514592,8168,
398,13514592,8069,
399,13514592,8284,
400,13514592,7921,
401,13514592,7739,
402,13514592,7944,
403,13514592,8448,
404,13514592,7864,
405,13514592,7972,
406,13514592,7994,
407,13514592,7821,
408,13514592,7996,
409,13514592,7900,
410,13514592,8277,
411,13514592,7961,
412,13514592,7661,
413,13514592,7965,
414,13514592,7757,
415,13514592,8004,
416,13514592,7767,
417,13514592,7485,
418,13514592,7853,
419,13514592,7687,
420,13514592,7915,
421,13514592,7919,
422,13514592,7910,
423,13514592,7762,
424,13514592,7785,
425,13514592,7794,
426,13514592,7785,
427,13514592,7783,
428,13514592,7608,
429,13514592,7523,
430,13514592,7849,
431,13514592,7811,
432,13514592,7968,
433,13514592,7527,
434,13514592,7613,
435,13514592,7753,
436,13514592,7793,
437,13514592,7414,
438,13514592,7670,
439,13514592,7477,
440,13514592,7679,
441,13514592,7533,
442,13514592,8029,
443,13514592,7378,
444,13514592,7440,
445,13514592,7559,
446,13514592,7516,
447,13514592,7774,
448,13514592,7575,
449,13514592,7473,
450,13514592,7344,
451,13514592,7583,
452,13514592,7434,
453,13514592,7442,
454,13514592,7513,
455,13514592,7596,
456,13514592,7566,
457,13514592,7581,
458,13514592,7493,
459,13514592,7271,
460,13514592,7552,
461,13514592,7455,
462,13514592,7346,
463,13514592,7125,
464,13514592,7341,
465,13514592,7782,
466,13514592,7275,
467,13514592,7005,
468,13514592,7027,
469,13514592,7215,
470,13514592,7557,
471,13514592,7196,
472,13514592,7528,
473,13514592,7425,
474,13514592,6951,
475,13514592,7141,
476,13514592,7182,
477,13514592,7360,
478,13514592,7584,
479,13514592,7275,
480,13514592,7009,
481,13514592,7170,
482,13514592,7139,
483,13514592,6939,
484,13514592,6938,
485,13514592,6987,
486,13514592,7105,
487,13514592,7029,
488,13514592,6996,
489,13514592,7011,
490,13514592,6800,
491,13514592,6783,
492,13514592,7120,
493,13514592,7286,
494,13514592,6900,
495,13514592,7246,
496,13514592,6833,
497,13514592,6886,
498,13514592,6714,
499,13514592,7165,
500,13514592,7126,
501,13514592,6963,
502,13514592,6736,
503,13514592,6624,
504,13514592,6734,
505,13514592,6835,
506,13514592,6723,
507,13514592,6834,
508,13514592,7042,
509,13514592,6849,
510,13514592,6995,
511,13514592,6968,
512,13514592,6965,
513,13514592,6807,
514,13514592,6775,
515,13514592,6692,
516,13514592,6603,
517,13514592,7034,
518,13514592,6679,
519,13514592,6604,
520,13514592,6668,
521,13514592,6714,
522,13514592,6836,
523,13514592,6674,
524,13514592,6625,
525,13514592,6613,
526,13514592,6626,
527,13514592,6756,
528,13514592,6914,
529,13514592,6754,
530,13514592,6510,
531,13514592,6876,
532,13514592,6563,
533,13514592,6418,
534,13514592,6643,
535,13514592,6875,
536,13514592,6761,
537,13514592,6386,
538,13514592,6445,
