row_number, computation, coverage
1,7644,7,
2,7644,7,
3,7644,7,
4,7644,7,
5,7644,7,
6,7644,7,
7,7644,7,
8,7644,7,
9,7644,7,
10,7644,7,
11,7644,7,
12,7644,7,
13,7644,7,
14,7644,7,
15,7644,7,
16,7644,7,
17,7644,7,
18,7644,7,
19,7644,7,
20,7644,7,
21,7644,7,
22,7644,7,
23,7644,7,
24,7644,7,
25,7644,7,
26,7644,7,
27,7644,7,
28,7644,7,
29,7644,7,
30,7644,7,
31,7644,7,
32,7644,7,
33,7644,7,
34,7644,7,
35,7644,7,
36,7644,7,
37,7644,7,
38,7644,7,
39,7644,7,
40,7644,7,
41,7644,7,
42,7644,7,
43,7644,7,
44,7644,7,
45,7644,7,
46,7644,7,
47,7644,7,
48,7644,7,
49,7644,7,
50,7644,7,
51,7644,7,
52,7644,7,
53,7644,7,
54,7644,7,
55,7644,7,
56,7644,7,
57,7644,7,
58,7644,7,
59,7644,7,
60,7644,7,
61,7644,7,
62,7644,7,
63,7644,7,
64,7644,7,
65,7644,7,
66,7644,7,
67,7644,7,
68,7644,7,
69,7644,7,
70,7644,7,
71,7644,7,
72,7644,7,
73,7644,7,
74,7644,7,
75,7644,7,
76,7644,7,
77,7644,7,
78,7644,7,
79,7644,7,
80,7644,7,
81,7644,7,
82,7644,7,
83,7644,7,
84,7644,7,
85,7644,7,
86,7644,7,
87,7644,7,
88,7644,7,
89,7644,7,
90,7644,7,
91,7644,7,
92,7644,7,
93,7644,7,
94,7644,7,
95,7644,7,
96,7644,7,
97,7644,7,
98,7644,7,
99,7644,7,
100,7644,7,
101,7644,7,
102,7644,7,
103,7644,7,
104,7644,7,
105,7644,7,
106,7644,7,
107,7644,7,
108,7644,7,
109,7644,7,
110,7644,7,
111,7644,7,
112,7644,7,
113,7644,7,
114,7644,7,
115,7644,7,
116,7644,7,
117,7644,7,
118,7644,7,
119,7644,7,
120,7644,7,
121,7644,7,
122,7644,7,
123,7644,7,
124,7644,7,
125,7644,7,
126,7644,7,
