row_number, computation, coverage
1,26040933,7,
2,25969540,7,
3,25898245,7,
4,25827048,7,
5,25755949,7,
6,25684948,7,
7,25614045,7,
8,25543240,7,
9,25472533,7,
10,25401924,7,
11,25331413,7,
12,25261000,7,
13,25190685,7,
14,25120468,7,
15,25050349,7,
16,24980328,7,
17,24910405,7,
18,24840580,7,
19,24770853,7,
20,24701224,7,
21,24631693,7,
22,24562260,7,
23,24492925,7,
24,24423688,7,
25,24354549,7,
26,24285508,7,
27,24216565,7,
28,24147720,7,
29,24078973,7,
30,24010324,7,
31,23941773,7,
32,23873320,7,
33,23804965,7,
34,23736708,7,
35,23668549,7,
36,23600488,7,
37,23532525,7,
38,23464660,7,
39,23396893,7,
40,23329224,7,
41,23261653,7,
42,23194180,7,
43,23126805,7,
44,23059528,7,
45,22992349,7,
46,22925268,7,
47,22858285,7,
48,22791400,7,
49,22724613,7,
50,22657924,7,
51,22591333,7,
52,22524840,7,
53,22458445,7,
54,22392148,7,
55,22325949,7,
56,22259848,7,
57,22193845,7,
58,22127940,7,
59,22062133,7,
60,21996424,7,
61,21930813,7,
62,21865300,7,
63,21799885,7,
64,21734568,7,
65,21669349,7,
66,21604228,7,
67,21539205,7,
68,21474280,7,
69,21409453,7,
70,21344724,7,
71,21280093,7,
72,21215560,7,
73,21151125,7,
74,21086788,7,
75,21022549,7,
76,20958408,7,
77,20894365,7,
78,20830420,7,
79,20766573,7,
80,20702824,7,
81,20639173,7,
82,20575620,7,
83,20512165,7,
84,20448808,7,
85,20385549,7,
86,20322388,7,
87,20259325,7,
88,20196360,7,
89,20133493,7,
90,20070724,7,
91,20008053,7,
92,19945480,7,
93,19883005,7,
94,19820628,7,
95,19758349,7,
96,19696168,7,
97,19634085,7,
98,19572100,7,
99,19510213,7,
100,19448424,7,
101,19386733,7,
102,19325140,7,
103,19263645,7,
104,19202248,7,
105,19140949,7,
106,19079748,7,
107,19018645,7,
108,18957640,7,
109,18896733,7,
110,18835924,7,
111,18775213,7,
112,18714600,7,
113,18654085,7,
114,18593668,7,
115,18533349,7,
116,18473128,7,
117,18413005,7,
118,18352980,7,
119,18293053,7,
120,18233224,7,
121,18173493,7,
122,18113860,7,
123,18054325,7,
124,17994888,7,
125,17935549,7,
126,17876308,7,
127,17817165,7,
128,17758120,7,
129,17699173,7,
130,17640324,7,
131,17581573,7,
132,17522920,7,
133,17464365,7,
134,17405908,7,
135,17347549,7,
136,17289288,7,
137,17231125,7,
138,17173060,7,
139,17115093,7,
140,17057224,7,
141,16999453,7,
142,16941780,7,
143,16884205,7,
144,16826728,7,
145,16769349,7,
146,16712068,7,
147,16654885,7,
148,16597800,7,
149,16540813,7,
150,16483924,7,
151,16427133,7,
152,16370440,7,
153,16313845,7,
154,16257348,7,
155,16200949,7,
156,16144648,7,
157,16088445,7,
158,16032340,7,
159,15976333,7,
160,15920424,7,
