row_number, computation, coverage
1,416682954,28,
2,415540666,28,
3,414399946,28,
4,413260794,28,
5,412123210,28,
6,410987194,28,
7,409852746,28,
8,408719866,28,
9,407588554,28,
10,406458810,28,
11,405330634,28,
12,404204026,28,
13,403078986,28,
14,401955514,28,
15,400833610,28,
16,399713274,28,
17,398594506,28,
18,397477306,28,
19,396361674,28,
20,395247610,28,
21,394135114,28,
22,393024186,28,
23,391914826,28,
24,390807034,28,
25,389700810,28,
26,388596154,28,
27,387493066,28,
28,386391546,28,
29,385291594,28,
30,384193210,28,
31,383096394,28,
32,382001146,28,
33,380907466,28,
34,379815354,28,
35,378724810,28,
36,377635834,28,
37,376544457,28,
38,375458617,28,
39,374374345,28,
40,373291641,28,
41,372210505,28,
42,371130937,28,
43,370052937,28,
44,368976505,28,
45,367905269,28,
46,366831973,28,
47,365760245,28,
48,364690085,28,
49,363617524,28,
50,362550500,28,
51,361485044,28,
52,360421156,28,
53,359362805,28,
54,358298084,28,
55,357238900,28,
56,356184914,28,
57,355124897,28,
58,354070417,28,
59,353021474,28,
60,351970130,28,
61,350916385,28,
62,349868177,28,
63,348821537,28,
64,347776128,28,
65,346736593,28,
66,345690688,28,
67,344650320,28,
68,343615489,28,
69,342574288,28,
70,341538624,28,
71,340504528,28,
72,339471665,28,
73,338440705,28,
74,337411313,28,
75,336383489,28,
76,335357233,28,
77,334332545,28,
78,333309425,28,
79,332287873,28,
80,331267889,28,
81,330249473,28,
82,329232292,28,
83,328220981,28,
84,327203300,28,
85,326191156,28,
86,325180580,28,
87,324171572,28,
88,323164132,28,
89,322158260,28,
90,321153956,28,
91,320150889,28,
92,319149721,28,
93,318149792,28,
94,317151760,28,
95,316155296,28,
96,315160400,28,
97,314167072,28,
98,313175312,28,
99,312185120,28,
100,311196496,28,
101,310209440,28,
102,309223952,28,
103,308239705,28,
104,307257353,28,
105,306276569,28,
106,305297353,28,
107,304319705,28,
108,303343625,28,
109,302369113,28,
110,301396169,28,
111,300424793,28,
112,299454985,28,
113,298486745,28,
114,297520073,28,
115,296554644,28,
116,295591108,28,
117,294629140,28,
118,293668740,28,
119,292709585,28,
120,291752321,28,
121,290796625,27,
122,289876546,28,
123,288923609,28,
124,287972561,28,
125,287023081,28,
126,286075169,28,
127,285128825,28,
128,284184049,28,
129,283240841,28,
130,282298882,27,
131,281392357,27,
132,280487290,28,
133,279550242,27,
