row_number, computation, coverage
1,25200,210,
2,25200,210,
3,25200,210,
4,25200,210,
5,25200,210,
6,25200,210,
7,25200,210,
8,25200,209,
9,25200,209,
10,25200,207,
11,25200,203,
12,25200,207,
13,25200,206,
14,25200,205,
15,25200,206,
16,25200,204,
17,25200,202,
18,25200,203,
19,25200,196,
20,25200,200,
21,25200,194,
22,25200,199,
23,25200,192,
24,25200,193,
25,25200,187,
26,25200,178,
27,25200,183,
28,25200,180,
29,25200,183,
30,25200,188,
31,25200,169,
32,25200,176,
33,25200,162,
34,25200,167,
35,25200,170,
36,25200,153,
37,25200,158,
38,25200,170,
39,25200,161,
40,25200,153,
41,25200,167,
42,25200,147,
43,25200,159,
44,25200,157,
45,25200,150,
46,25200,152,
47,25200,149,
48,25200,136,
49,25200,133,
50,25200,140,
51,25200,140,
52,25200,137,
53,25200,121,
54,25200,144,
55,25200,126,
56,25200,130,
57,25200,137,
58,25200,129,
59,25200,117,
60,25200,123,
61,25200,126,
62,25200,115,
63,25200,104,
64,25200,124,
65,25200,134,
66,25200,111,
67,25200,113,
68,25200,115,
69,25200,114,
70,25200,120,
71,25200,109,
72,25200,107,
73,25200,100,
74,25200,91,
75,25200,97,
76,25200,100,
77,25200,101,
78,25200,99,
79,25200,96,
80,25200,81,
81,25200,100,
82,25200,95,
83,25200,79,
84,25200,90,
85,25200,79,
86,25200,84,
87,25200,98,
88,25200,84,
89,25200,84,
90,25200,79,
91,25200,74,
92,25200,81,
93,25200,67,
94,25200,67,
95,25200,63,
96,25200,83,
97,25200,68,
98,25200,67,
99,25200,71,
100,25200,80,
101,25200,71,
102,25200,60,
103,25200,74,
104,25200,55,
105,25200,56,
106,25200,73,
107,25200,55,
108,25200,53,
109,25200,61,
110,25200,47,
111,25200,50,
112,25200,51,
113,25200,53,
114,25200,65,
115,25200,46,
116,25200,45,
117,25200,52,
118,25200,51,
119,25200,42,
120,25200,37,
121,25200,41,
122,25200,46,
123,25200,36,
124,25200,44,
125,25200,44,
126,25200,36,
127,25200,45,
128,25200,39,
129,25200,41,
130,25200,36,
131,25200,34,
132,25200,35,
133,25200,27,
134,25200,36,
135,25200,38,
136,25200,35,
137,25200,31,
138,25200,27,
139,25200,39,
140,25200,26,
141,25200,31,
142,25200,26,
143,25200,21,
144,25200,29,
145,25200,28,
146,25200,30,
147,25200,21,
148,25200,24,
149,25200,23,
150,25200,21,
151,25200,26,
152,25200,24,
153,25200,20,
154,25200,23,
155,25200,21,
156,25200,15,
157,25200,19,
158,25200,26,
159,25200,22,
160,25200,18,
161,25200,14,
162,25200,14,
163,25200,20,
164,25200,19,
165,25200,17,
166,25200,18,
167,25200,16,
168,25200,11,
169,25200,13,
170,25200,13,
171,25200,15,
172,25200,18,
173,25200,10,
174,25200,14,
175,25200,15,
176,25200,8,
177,25200,10,
178,25200,12,
179,25200,9,
180,25200,9,
181,25200,9,
182,25200,9,
183,25200,10,
184,25200,9,
185,25200,8,
186,25200,11,
187,25200,11,
188,25200,11,
189,25200,11,
190,25200,7,
191,25200,6,
192,25200,6,
193,25200,6,
194,25200,7,
195,25200,9,
196,25200,7,
197,25200,6,
198,25200,5,
199,25200,5,
200,25200,5,
201,25200,5,
202,25200,3,
203,25200,5,
204,25200,6,
205,25200,4,
206,25200,5,
207,25200,5,
208,25200,4,
209,25200,4,
210,25200,4,
211,25200,5,
212,25200,5,
213,25200,3,
214,25200,3,
215,25200,3,
216,25200,3,
217,25200,5,
218,25200,2,
219,25200,2,
220,25200,4,
221,25200,1,
222,25200,1,
223,25200,2,
224,25200,1,
225,25200,2,
226,25200,2,
