row_number, computation, coverage
1,185530914,56,
2,184009954,56,
3,182495266,56,
4,180986850,56,
5,179484706,56,
6,177988834,56,
7,176488209,56,
8,175012405,56,
9,173535349,56,
10,172063402,56,
11,170598890,56,
12,169139489,56,
13,167686362,56,
14,166240666,56,
15,164800085,56,
16,163365778,56,
17,161937745,56,
18,160515986,56,
19,159101650,56,
20,157674560,56,
21,156271633,56,
22,154874980,56,
23,153484601,56,
24,152100496,56,
25,150722665,56,
26,149351108,56,
27,147980240,56,
28,146621241,56,
29,145269625,56,
30,143920960,56,
31,142581888,56,
32,141247985,56,
33,139917065,56,
34,138592449,56,
35,137274137,55,
36,135989722,56,
37,134688170,55,
38,133413813,55,
39,132144445,56,
40,130857229,55,
41,129600113,56,
42,128328532,56,
43,127063225,55,
44,125827650,55,
45,124592900,55,
46,123368386,55,
47,122149924,55,
48,120937514,56,
49,119709297,55,
50,118508072,55,
51,117308825,55,
52,116119732,54,
53,114958116,55,
54,113781029,54,
55,112633205,56,
56,111446026,54,
57,110307097,54,
58,109177978,55,
59,108029960,54,
60,106910633,55,
61,105774629,54,
62,104664157,53,
63,103580845,54,
64,102482944,53,
65,101412922,54,
66,100326601,54,
67,99248026,52,
68,98218685,54,
69,97142114,54,
70,96080837,53,
71,95043013,52,
72,94032965,52,
73,93027400,53,
74,92007161,53,
75,90988900,53,
76,89980834,52,
77,88996330,53,
78,87997604,51,
79,87042677,52,
80,86087970,53,
81,85103921,51,
82,84157705,51,
83,83229248,51,
84,82290946,52,
85,81347842,51,
86,80425540,49,
87,79561250,51,
88,78651653,50,
89,77756425,49,
90,76899010,51,
91,76010740,52,
92,75102736,50,
93,74235461,50,
94,73373236,48,
95,72554164,49,
96,71718706,49,
97,70892125,51,
98,70032881,50,
99,69202697,49,
100,68390816,49,
101,67576546,49,
102,66779045,50,
103,65963745,47,
104,65198674,49,
105,64409920,49,
106,63625970,49,
107,62846824,47,
108,62097041,49,
109,61329608,48,
110,60577205,46,
111,59864113,45,
112,59177485,45,
113,58477428,47,
114,57757970,47,
115,57048836,47,
116,56339698,47,
117,55634269,47,
118,54942793,46,
119,54254330,47,
120,53567144,47,
121,52875073,47,
122,52200977,45,
123,51545741,45,
124,50906612,47,
125,50231957,46,
126,49581425,43,
127,48982600,44,
128,48367325,45,
129,47740082,46,
130,47105946,44,
131,46494697,44,
132,45905858,42,
133,45338521,45,
134,44731961,43,
135,44158010,41,
136,43612192,45,
137,43021226,45,
138,42434965,42,
139,41888921,45,
140,41304050,45,
141,40727732,42,
142,40196624,45,
143,39626225,43,
144,39086132,41,
145,38568413,42,
146,38054021,40,
147,37560277,40,
148,37071586,40,
149,36581890,41,
150,36093636,42,
151,35590180,45,
152,35050594,41,
153,34568000,39,
154,34110914,40,
155,33645285,40,
156,33180530,40,
157,32720738,38,
158,32285149,38,
159,31854169,40,
160,31402585,39,
161,30968093,41,
162,30512365,39,
163,30087445,39,
164,29654545,38,
165,29240497,38,
166,28832525,40,
167,28407229,38,
168,28003586,40,
169,27578146,42,
170,27141965,37,
171,26751565,36,
172,26386069,36,
173,26016957,39,
174,25620625,36,
175,25259530,41,
176,24845509,37,
177,24475981,35,
178,24132845,36,
179,23782436,39,
180,23402570,35,
181,23069890,36,
182,22716164,36,
183,22378177,36,
184,22038848,36,
185,21701129,33,
186,21390386,33,
187,21087565,36,
188,20756789,37,
189,20420993,36,
190,20095970,37,
191,19767424,34,
192,19463461,34,
193,19166368,34,
194,18867973,35,
195,18569633,33,
196,18285800,35,
197,17985850,33,
198,17704328,32,
199,17437741,33,
200,17160565,34,
201,16882133,33,
202,16609421,33,
203,16338173,29,
204,16105680,32,
205,15851840,32,
206,15597161,31,
207,15352373,31,
208,15109525,32,
209,14862901,31,
210,14620482,29,
211,14403304,34,
212,14146740,30,
213,13918797,31,
214,13691050,34,
215,13438642,32,
216,13202402,31,
217,12980948,32,
218,12751325,28,
219,12551300,30,
220,12344089,28,
221,12145369,31,
222,11927285,30,
223,11720186,29,
224,11522029,31,
225,11314210,31,
226,11106560,28,
227,10920625,30,
228,10722141,27,
229,10545273,28,
230,10364786,27,
231,10192585,30,
232,9999533,26,
233,9837985,26,
234,9673157,24,
235,9525293,26,
236,9364100,25,
237,9211925,24,
238,9066385,27,
239,8905681,27,
240,8743925,25,
241,8597833,23,
242,8464625,26,
243,8309377,24,
244,8173826,27,
245,8021920,26,
246,7872813,25,
247,7734833,25,
248,7593953,25,
249,7456129,23,
250,7331780,25,
251,7199541,26,
252,7058009,21,
253,6946745,23,
254,6825106,21,
255,6715969,26,
256,6581005,21,
257,6474105,21,
258,6367824,21,
259,6260626,20,
260,6162865,22,
261,6052474,25,
262,5930500,22,
263,5824741,21,
264,5723450,21,
265,5624324,22,
266,5520100,25,
267,5402666,21,
268,5304641,21,
269,5210225,21,
270,5114693,20,
271,5022100,19,
272,4939837,19,
273,4853456,22,
274,4759309,23,
275,4657250,20,
276,4570546,24,
277,4471450,20,
278,4386442,21,
279,4297669,18,
280,4223025,20,
281,4141793,21,
282,4055146,20,
283,3976181,20,
284,3895042,19,
285,3821968,19,
286,3747305,18,
287,3677629,20,
288,3602689,19,
289,3529177,16,
290,3469600,18,
291,3402373,19,
