row_number, computation, coverage
1,45738,126,
2,45738,126,
3,45738,126,
4,45738,126,
5,45738,126,
6,45738,126,
7,45738,126,
8,45738,126,
9,45738,126,
10,45738,126,
11,45738,126,
12,45738,126,
13,45738,126,
14,45738,126,
15,45738,126,
16,45738,126,
17,45738,126,
18,45738,126,
19,45738,126,
20,45738,126,
21,45738,125,
22,45738,126,
23,45738,124,
24,45738,125,
25,45738,125,
26,45738,124,
27,45738,125,
28,45738,126,
29,45738,124,
30,45738,123,
31,45738,125,
32,45738,125,
33,45738,123,
34,45738,124,
35,45738,124,
36,45738,123,
37,45738,124,
38,45738,124,
39,45738,123,
40,45738,123,
41,45738,122,
42,45738,121,
43,45738,122,
44,45738,123,
45,45738,123,
46,45738,122,
47,45738,119,
48,45738,121,
49,45738,121,
50,45738,121,
51,45738,122,
52,45738,119,
53,45738,117,
54,45738,122,
55,45738,122,
56,45738,116,
57,45738,118,
58,45738,118,
59,45738,112,
60,45738,120,
61,45738,117,
62,45738,121,
63,45738,117,
64,45738,117,
65,45738,117,
66,45738,111,
67,45738,119,
68,45738,111,
69,45738,117,
70,45738,114,
71,45738,116,
72,45738,112,
73,45738,109,
74,45738,110,
75,45738,116,
76,45738,115,
77,45738,115,
78,45738,109,
79,45738,109,
80,45738,111,
81,45738,114,
82,45738,114,
83,45738,109,
84,45738,111,
85,45738,109,
86,45738,108,
87,45738,112,
88,45738,115,
89,45738,105,
90,45738,104,
91,45738,116,
92,45738,110,
93,45738,107,
94,45738,107,
95,45738,104,
96,45738,110,
97,45738,105,
98,45738,100,
99,45738,103,
100,45738,103,
101,45738,105,
102,45738,97,
103,45738,106,
104,45738,107,
105,45738,108,
106,45738,102,
107,45738,102,
108,45738,105,
109,45738,107,
110,45738,102,
111,45738,97,
112,45738,103,
113,45738,100,
114,45738,101,
115,45738,103,
116,45738,101,
117,45738,100,
118,45738,96,
119,45738,98,
120,45738,100,
121,45738,99,
122,45738,102,
123,45738,95,
124,45738,96,
125,45738,98,
126,45738,103,
127,45738,90,
128,45738,98,
129,45738,95,
130,45738,95,
131,45738,94,
132,45738,89,
133,45738,86,
