7,8,9,10,
107,148,180,232,
105,155,194,242,
104,144,198,247,
110,145,198,240,
102,157,196,234,
102,150,193,244,
96,150,207,235,
109,152,198,245,
107,149,196,232,
105,149,196,237,
104,149,193,248,
105,151,192,248,
103,153,200,246,
109,145,197,247,
105,153,194,242,
104,152,196,233,
108,146,194,241,
102,149,196,246,
105,158,191,234,
102,146,196,239,
109,151,203,244,
108,149,196,237,
113,154,195,236,
108,150,181,233,
109,144,206,242,
104,143,202,237,
103,152,192,248,
108,148,196,239,
103,153,193,242,
105,152,192,250,
108,147,188,245,
105,158,193,242,
102,150,195,238,
104,148,194,238,
103,149,195,238,
109,150,195,244,
99,143,194,250,
108,150,196,235,
109,150,197,235,
108,158,195,238,
100,152,194,251,
106,155,195,234,
103,150,193,236,
105,148,207,244,
109,146,197,238,
107,147,204,235,
104,158,207,254,
107,146,187,239,
110,157,187,232,
106,153,194,245,
109,156,195,235,
105,147,200,240,
107,137,182,238,
109,150,195,243,
107,148,190,235,
109,155,197,237,
104,148,195,240,
106,150,199,245,
105,147,196,249,
102,148,181,240,
105,152,189,238,
105,154,199,241,
108,147,181,238,
101,150,186,239,
106,147,197,232,
104,150,200,246,
109,156,192,250,
110,145,190,247,
105,148,194,242,
105,152,197,244,
104,150,199,242,
102,156,195,253,
106,159,201,240,
101,150,206,237,
108,146,196,238,
102,148,193,250,
106,153,192,240,
99,152,190,237,
101,152,199,240,
100,147,194,244,
107,151,198,230,
102,148,194,240,
108,148,192,234,
107,146,195,240,
105,149,204,242,
108,153,195,240,
105,148,204,244,
99,154,190,244,
105,155,199,236,
102,154,187,237,
101,143,199,243,
111,146,201,240,
105,154,196,247,
102,149,188,241,
102,155,194,237,
107,149,203,240,
108,145,196,241,
108,146,200,242,
106,151,203,250,
109,158,201,239,
108,159,196,247,
104,150,191,241,
108,156,197,239,
110,153,199,243,
104,148,206,256,
102,154,203,235,
109,144,195,219,
106,151,191,250,
106,145,194,237,
103,142,195,238,
104,143,191,243,
108,159,196,252,
103,142,196,242,
105,148,192,243,
105,157,197,230,
104,153,203,251,
103,150,188,246,
106,149,203,253,
107,145,196,241,
104,148,190,249,
113,150,198,238,
103,147,195,240,
108,149,195,249,
105,152,194,236,
103,141,198,248,
108,144,192,247,
106,154,201,247,
104,151,188,236,
104,156,196,241,
104,149,207,238,
107,148,199,238,
105,152,196,238,
107,149,200,234,
111,143,197,250,
105,150,197,237,
110,155,190,235,
106,150,207,237,
104,152,199,227,
103,152,194,243,
106,153,205,240,
107,152,201,229,
102,154,190,246,
